MSA,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Shrubland,Woody Wetlands
"Atlanta-Sandy Springs-Roswell, GA",71158.0,51211.0,6302525.0,511111.0,2218735.0,1102231.0,2835606.0,28193.0,4672863.0,722912.0,1775696.0,440083.0,3388438.0,476076.0,830704.0
"Atlantic City-Hammonton, NJ",6818.0,112742.0,207932.0,30186.0,101967.0,69766.0,115178.0,198154.0,66038.0,6913.0,225989.0,156839.0,7729.0,10844.0,438336.0
"Auburn-Opelika, AL",6553.0,16132.0,346688.0,14623.0,103999.0,42992.0,110361.0,2862.0,437953.0,98744.0,218358.0,29887.0,179028.0,82567.0,81557.0
"Augusta-Richmond County, GA-SC",37494.0,887404.0,888297.0,62829.0,410253.0,179034.0,520444.0,85927.0,3158220.0,731574.0,342514.0,281779.0,687033.0,654057.0,1380995.0
"Austin-Round Rock, TX",72412.0,1142757.0,900838.0,230475.0,554199.0,581301.0,729999.0,18211.0,2083613.0,1389065.0,506054.0,167692.0,2005744.0,1664740.0,269912.0
"Bakersfield, CA",488499.0,4788942.0,81578.0,92697.0,293243.0,328147.0,847595.0,105512.0,1031773.0,5873142.0,76771.0,54323.0,49863.0,9355071.0,20887.0
"Baltimore-Columbia-Towson, MD",16233.0,1377378.0,1835487.0,193003.0,670965.0,432253.0,993677.0,70481.0,37357.0,26539.0,382439.0,308555.0,990734.0,33656.0,429143.0
"Bangor, ME",17924.0,50137.0,1265735.0,26367.0,135249.0,77711.0,219686.0,135152.0,1899683.0,185427.0,3429614.0,459445.0,257015.0,138300.0,1941701.0
"Barnstable Town, MA",54599.0,5642.0,33431.0,26950.0,201240.0,150280.0,104938.0,91715.0,187225.0,31937.0,188572.0,163114.0,3131.0,12495.0,39635.0
"Baton Rouge, LA",45384.0,1195617.0,281539.0,116262.0,495560.0,287117.0,495654.0,297993.0,1607710.0,170331.0,570252.0,542915.0,1311545.0,308960.0,4369285.0
"Battle Creek, MI",1758.0,939960.0,262220.0,16685.0,93221.0,43050.0,129722.0,28521.0,8075.0,6931.0,26056.0,21905.0,69195.0,1922.0,418149.0
"Bay City, MI",3058.0,757736.0,64669.0,16281.0,93997.0,53795.0,44568.0,27014.0,2313.0,7297.0,10960.0,18396.0,10340.0,870.0,188707.0
